date,home_team,away_team,home_score,away_score,league,season
8/5/22,Crystal Palace,Arsenal,0,2,premierleague,2022
8/6/22,Fulham,Liverpool,2,2,premierleague,2022
N/A,Tottenham,Southampton,4,1,premierleague,2022
N/A,Newcastle,Nottm Forest,2,0,premierleague,2022
N/A,Leeds,Wolves,2,1,premierleague,2022
N/A,Bournemouth,Aston Villa,2,0,premierleague,2022
N/A,Everton,Chelsea,0,1,premierleague,2022
8/7/22,Leicester,Brentford,2,2,premierleague,2022
N/A,Man Utd,Brighton,1,2,premierleague,2022
N/A,West Ham,Man City,0,2,premierleague,2022
8/13/22,Aston Villa,Everton,2,1,premierleague,2022
N/A,Wolves,Fulham,0,0,premierleague,2022
N/A,Southampton,Leeds,2,2,premierleague,2022
N/A,Man City,Bournemouth,4,0,premierleague,2022
N/A,Brighton,Newcastle,0,0,premierleague,2022
N/A,Arsenal,Leicester,4,2,premierleague,2022
N/A,Brentford,Man Utd,4,0,premierleague,2022
8/14/22,Nottm Forest,West Ham,1,0,premierleague,2022
N/A,Chelsea,Tottenham,2,2,premierleague,2022
8/15/22,Liverpool,Crystal Palace,1,1,premierleague,2022
8/20/22,Tottenham,Wolves,1,0,premierleague,2022
N/A,Crystal Palace,Aston Villa,3,1,premierleague,2022
N/A,Everton,Nottm Forest,1,1,premierleague,2022
N/A,Fulham,Brentford,3,2,premierleague,2022
N/A,Leicester,Southampton,1,2,premierleague,2022
N/A,Bournemouth,Arsenal,0,3,premierleague,2022
8/21/22,Leeds,Chelsea,3,0,premierleague,2022
N/A,West Ham,Brighton,0,2,premierleague,2022
N/A,Newcastle,Man City,3,3,premierleague,2022
8/22/22,Man Utd,Liverpool,2,1,premierleague,2022
8/27/22,Southampton,Man Utd,0,1,premierleague,2022
N/A,Brentford,Everton,1,1,premierleague,2022
N/A,Brighton,Leeds,1,0,premierleague,2022
N/A,Chelsea,Leicester,2,1,premierleague,2022
N/A,Liverpool,Bournemouth,9,0,premierleague,2022
N/A,Man City,Crystal Palace,4,2,premierleague,2022
N/A,Arsenal,Fulham,2,1,premierleague,2022
8/28/22,Aston Villa,West Ham,0,1,premierleague,2022
N/A,Wolves,Newcastle,1,1,premierleague,2022
N/A,Nottm Forest,Tottenham,0,2,premierleague,2022
8/30/22,Fulham,Brighton,2,1,premierleague,2022
N/A,Crystal Palace,Brentford,1,1,premierleague,2022
N/A,Southampton,Chelsea,2,1,premierleague,2022
N/A,Leeds,Everton,1,1,premierleague,2022
8/31/22,Bournemouth,Wolves,0,0,premierleague,2022
N/A,Arsenal,Aston Villa,2,1,premierleague,2022
N/A,Man City,Nottm Forest,6,0,premierleague,2022
N/A,West Ham,Tottenham,1,1,premierleague,2022
N/A,Liverpool,Newcastle,2,1,premierleague,2022
