player_name,position,nationality,age,team,value,league,season
Erling Haaland,Centre-Forward,Norway,1,Manchester City,€200.00m,Premier League,2014
Bukayo Saka,Right Winger,England / Nigeria,2,Arsenal FC,€150.00m,Premier League,2014
Phil Foden,Right Winger,England,3,Manchester City,€150.00m,Premier League,2014
Rodri,Defensive Midfield,Spain,4,Manchester City,€130.00m,Premier League,2014
Cole Palmer,Attacking Midfield,England,5,Chelsea FC,€130.00m,Premier League,2014
Declan Rice,Central Midfield,England / Ireland,6,Arsenal FC,€120.00m,Premier League,2014
Alexander Isak,Centre-Forward,Sweden / Eritrea,7,Newcastle United,€100.00m,Premier League,2014
Martin Ødegaard,Attacking Midfield,Norway,8,Arsenal FC,€110.00m,Premier League,2014
Alexis Mac Allister,Central Midfield,Argentina / Italy,9,Liverpool FC,€90.00m,Premier League,2014
Luis Díaz,Left Winger,Colombia,10,Liverpool FC,€85.00m,Premier League,2014
Moisés Caicedo,Defensive Midfield,Ecuador,11,Chelsea FC,€90.00m,Premier League,2014
William Saliba,Centre-Back,France / Cameroon,12,Arsenal FC,€80.00m,Premier League,2014
Bruno Guimarães,Defensive Midfield,Brazil / Spain,13,Newcastle United,€85.00m,Premier League,2014
Dominik Szoboszlai,Central Midfield,Hungary,14,Liverpool FC,€80.00m,Premier League,2014
Enzo Fernández,Central Midfield,Argentina,15,Chelsea FC,€85.00m,Premier League,2014
Gabriel Magalhães,Centre-Back,Brazil,16,Arsenal FC,€75.00m,Premier League,2014
Josko Gvardiol,Left-Back,Croatia,17,Manchester City,€80.00m,Premier League,2014
Omar Marmoush,Centre-Forward,Egypt / Canada,18,Manchester City,€75.00m,Premier League,2014
Trent Alexander-Arnold,Right-Back,England,19,Liverpool FC,€110.00m,Premier League,2014
Kai Havertz,Centre-Forward,Germany,20,Arsenal FC,€90.00m,Premier League,2014
Rúben Dias,Centre-Back,Portugal,21,Manchester City,€80.00m,Premier League,2014
Ryan Gravenberch,Defensive Midfield,Netherlands / Suriname,22,Liverpool FC,€70.00m,Premier League,2014
Cody Gakpo,Left Winger,Netherlands / Togo,23,Liverpool FC,€70.00m,Premier League,2014
Anthony Gordon,Left Winger,England,24,Newcastle United,€65.00m,Premier League,2014
Dejan Kulusevski,Attacking Midfield,Sweden / North Macedonia,25,Tottenham Hotspur,€60.00m,Premier League,2014
Ibrahima Konaté,Centre-Back,France / Mali,26,Liverpool FC,€60.00m,Premier League,2014
Nicolas Jackson,Centre-Forward,Senegal / The Gambia,27,Chelsea FC,€55.00m,Premier League,2014
Bruno Fernandes,Attacking Midfield,Portugal,28,Manchester United,€90.00m,Premier League,2014
Savinho,Right Winger,Brazil,29,Manchester City,€55.00m,Premier League,2014
Jérémy Doku,Left Winger,Belgium / Ghana,30,Manchester City,€65.00m,Premier League,2014
Gabriel Martinelli,Left Winger,Brazil / Italy,31,Arsenal FC,€85.00m,Premier League,2014
Ethan Nwaneri,Right Winger,England / Nigeria,32,Arsenal FC,€55.00m,Premier League,2014
Levi Colwill,Centre-Back,England,33,Chelsea FC,€55.00m,Premier League,2014
Amadou Onana,Defensive Midfield,Belgium / Senegal,34,Aston Villa,€55.00m,Premier League,2014
Kobbie Mainoo,Central Midfield,England / Ghana,35,Manchester United,€55.00m,Premier League,2014
Micky van de Ven,Centre-Back,Netherlands,36,Tottenham Hotspur,€55.00m,Premier League,2014
Leny Yoro,Centre-Back,France / Cote d'Ivoire,37,Manchester United,€55.00m,Premier League,2014
Cristian Romero,Centre-Back,Argentina,38,Tottenham Hotspur,€65.00m,Premier League,2014
Eberechi Eze,Attacking Midfield,England / Nigeria,39,Crystal Palace,€60.00m,Premier League,2014
Mohamed Salah,Right Winger,Egypt,40,Liverpool FC,€150.00m,Premier League,2014
Mohammed Kudus,Right Winger,Ghana,41,West Ham United,€50.00m,Premier League,2014
Ben White,Right-Back,England,42,Arsenal FC,€55.00m,Premier League,2014
Jurrien Timber,Right-Back,Netherlands / Curacao,43,Arsenal FC,€50.00m,Premier League,2014
Manuel Ugarte,Defensive Midfield,Uruguay,44,Manchester United,€60.00m,Premier League,2014
Marcus Rashford,Left Winger,England / St. Kitts & Nevis,45,Aston Villa,€85.00m,Premier League,2014
Ollie Watkins,Centre-Forward,England,46,Aston Villa,€65.00m,Premier League,2014
Morgan Rogers,Attacking Midfield,England,47,Aston Villa,€50.00m,Premier League,2014
Pedro Neto,Right Winger,Portugal,48,Chelsea FC,€55.00m,Premier League,2014
Jarrad Branthwaite,Centre-Back,England,49,Everton FC,€50.00m,Premier League,2014
Brennan Johnson,Right Winger,Wales / England,50,Tottenham Hotspur,€50.00m,Premier League,2014
James Maddison,Attacking Midfield,England,51,Tottenham Hotspur,€70.00m,Premier League,2014
Darwin Núñez,Centre-Forward,Uruguay,52,Liverpool FC,€70.00m,Premier League,2014
Curtis Jones,Central Midfield,England,53,Liverpool FC,€50.00m,Premier League,2014
Christopher Nkunku,Centre-Forward,France / DR Congo,54,Chelsea FC,€80.00m,Premier League,2014
Jarrod Bowen,Right Winger,England,55,West Ham United,€50.00m,Premier League,2014
Sven Botman,Centre-Back,Netherlands,56,Newcastle United,€45.00m,Premier League,2014
Sandro Tonali,Central Midfield,Italy,57,Newcastle United,€60.00m,Premier League,2014
Bernardo Silva,Attacking Midfield,Portugal,58,Manchester City,€100.00m,Premier League,2014
Destiny Udogie,Left-Back,Italy / Nigeria,59,Tottenham Hotspur,€45.00m,Premier League,2014
Pedro Porro,Right-Back,Spain,60,Tottenham Hotspur,€45.00m,Premier League,2014
Marc Guéhi,Centre-Back,England / Cote d'Ivoire,61,Crystal Palace,€45.00m,Premier League,2014
