club,matches_played,wins,draws,losses,goals_for,goals_against,goals_diff,points,league,season
Chelsea,38,26,9,3,73,32,41,87,premierleague,2014
Man City,38,24,7,7,83,38,45,79,premierleague,2014
Arsenal,38,22,9,7,71,36,35,75,premierleague,2014
Man Utd,38,20,10,8,62,37,25,70,premierleague,2014
Tottenham,38,19,7,12,58,53,5,64,premierleague,2014
Liverpool,38,18,8,12,52,48,4,62,premierleague,2014
Southampton,38,18,6,14,54,33,21,60,premierleague,2014
Swansea,38,16,8,14,46,49,-3,56,premierleague,2014
Stoke City,38,15,9,14,48,45,3,54,premierleague,2014
Crystal Palace,38,13,9,16,47,51,-4,48,premierleague,2014
Everton,38,12,11,15,48,50,-2,47,premierleague,2014
West Ham,38,12,11,15,44,47,-3,47,premierleague,2014
West Brom,38,11,11,16,38,51,-13,44,premierleague,2014
Leicester,38,11,8,19,46,55,-9,41,premierleague,2014
Newcastle,38,10,9,19,40,63,-23,39,premierleague,2014
Sunderland,38,7,17,14,31,53,-22,38,premierleague,2014
Aston Villa,38,10,8,20,31,57,-26,38,premierleague,2014
Hull City,38,8,11,19,33,51,-18,35,premierleague,2014
Burnley,38,7,12,19,28,53,-25,33,premierleague,2014
QPR,38,8,6,24,42,73,-31,30,premierleague,2014
Leicester,38,23,12,3,68,36,32,81,premierleague,2015
Arsenal,38,20,11,7,65,36,29,71,premierleague,2015
Tottenham,38,19,13,6,69,35,34,70,premierleague,2015
Man City,38,19,9,10,71,41,30,66,premierleague,2015
Man Utd,38,19,9,10,49,35,14,66,premierleague,2015
Southampton,38,18,9,11,59,41,18,63,premierleague,2015
West Ham,38,16,14,8,65,51,14,62,premierleague,2015
Liverpool,38,16,12,10,63,50,13,60,premierleague,2015
Stoke City,38,14,9,15,41,55,-14,51,premierleague,2015
Chelsea,38,12,14,12,59,53,6,50,premierleague,2015
Everton,38,11,14,13,59,55,4,47,premierleague,2015
Swansea,38,12,11,15,42,52,-10,47,premierleague,2015
Watford,38,12,9,17,40,50,-10,45,premierleague,2015
West Brom,38,10,13,15,34,48,-14,43,premierleague,2015
Crystal Palace,38,11,9,18,39,51,-12,42,premierleague,2015
Bournemouth,38,11,9,18,45,67,-22,42,premierleague,2015
Sunderland,38,9,12,17,48,62,-14,39,premierleague,2015
Newcastle,38,9,10,19,44,65,-21,37,premierleague,2015
Norwich,38,9,7,22,39,67,-28,34,premierleague,2015
Aston Villa,38,3,8,27,27,76,-49,17,premierleague,2015
Chelsea,38,30,3,5,85,33,52,93,premierleague,2016
Tottenham,38,26,8,4,86,26,60,86,premierleague,2016
Man City,38,23,9,6,80,39,41,78,premierleague,2016
Liverpool,38,22,10,6,78,42,36,76,premierleague,2016
Arsenal,38,23,6,9,77,44,33,75,premierleague,2016
Man Utd,38,18,15,5,54,29,25,69,premierleague,2016
Everton,38,17,10,11,62,44,18,61,premierleague,2016
Southampton,38,12,10,16,41,48,-7,46,premierleague,2016
Bournemouth,38,12,10,16,55,67,-12,46,premierleague,2016
West Brom,38,12,9,17,43,51,-8,45,premierleague,2016
West Ham,38,12,9,17,47,64,-17,45,premierleague,2016
Leicester,38,12,8,18,48,63,-15,44,premierleague,2016
Stoke City,38,11,11,16,41,56,-15,44,premierleague,2016
Crystal Palace,38,12,5,21,50,63,-13,41,premierleague,2016
Swansea,38,12,5,21,45,70,-25,41,premierleague,2016
Burnley,38,11,7,20,39,55,-16,40,premierleague,2016
Watford,38,11,7,20,40,68,-28,40,premierleague,2016
Hull City,38,9,7,22,37,80,-43,34,premierleague,2016
Middlesbrough,38,5,13,20,27,53,-26,28,premierleague,2016
Sunderland,38,6,6,26,29,69,-40,24,premierleague,2016
Man City,38,32,4,2,106,27,79,100,premierleague,2017
Man Utd,38,25,6,7,68,28,40,81,premierleague,2017
Tottenham,38,23,8,7,74,36,38,77,premierleague,2017
Liverpool,38,21,12,5,84,38,46,75,premierleague,2017
Chelsea,38,21,7,10,62,38,24,70,premierleague,2017
Arsenal,38,19,6,13,74,51,23,63,premierleague,2017
